Date,Open,High,Low,Close,Adj Close,Volume
2018-11-09,1.520000,1.560000,1.460000,1.530000,1.530000,40600
2018-11-12,1.500000,1.500000,1.440000,1.440000,1.440000,20100
2018-11-13,1.460000,1.480000,1.390000,1.480000,1.480000,59300
2018-11-14,1.450000,1.450000,1.380000,1.410000,1.410000,47200
2018-11-15,1.390000,1.430000,1.380000,1.380000,1.380000,19300
2018-11-16,1.370000,1.390000,1.330000,1.360000,1.360000,60300
2018-11-19,1.340000,1.410000,1.340000,1.350000,1.350000,25200
2018-11-20,1.360000,1.390000,1.330000,1.390000,1.390000,10800
2018-11-21,1.370000,1.390000,1.350000,1.350000,1.350000,7400
2018-11-23,1.350000,1.390000,1.330000,1.390000,1.390000,20300
2018-11-26,1.390000,1.410000,1.360000,1.400000,1.400000,22100
2018-11-27,1.370000,1.400000,1.310000,1.320000,1.320000,64800
2018-11-28,1.320000,1.390000,1.320000,1.390000,1.390000,19900
2018-11-29,1.370000,1.400000,1.300000,1.380000,1.380000,29800
2018-11-30,1.360000,1.390000,1.330000,1.340000,1.340000,20000
2018-12-03,1.370000,1.450000,1.340000,1.440000,1.440000,94000
2018-12-04,1.440000,1.440000,1.380000,1.380000,1.380000,136300
2018-12-06,1.350000,1.430000,1.350000,1.360000,1.360000,15700
2018-12-07,1.420000,1.430000,1.360000,1.420000,1.420000,23500
2018-12-10,1.430000,1.430000,1.340000,1.380000,1.380000,17100
2018-12-11,1.410000,1.430000,1.380000,1.430000,1.430000,22300
2018-12-12,1.440000,1.440000,1.380000,1.410000,1.410000,45000
2018-12-13,1.420000,1.440000,1.400000,1.410000,1.410000,23600
2018-12-14,1.420000,1.430000,1.380000,1.410000,1.410000,26300
2018-12-17,1.420000,1.480000,1.390000,1.410000,1.410000,49100
2018-12-18,1.440000,1.440000,1.390000,1.410000,1.410000,14000
2018-12-19,1.400000,1.430000,1.350000,1.400000,1.400000,48600
2018-12-20,1.400000,1.400000,1.320000,1.350000,1.350000,58300
2018-12-21,1.350000,1.380000,1.200000,1.200000,1.200000,73700
2018-12-24,1.200000,1.300000,1.200000,1.300000,1.300000,37100
2018-12-26,1.290000,1.290000,1.230000,1.240000,1.240000,47100
2018-12-27,1.230000,1.290000,1.230000,1.260000,1.260000,26400
2018-12-28,1.300000,1.300000,1.250000,1.290000,1.290000,22000
2018-12-31,1.290000,1.330000,1.260000,1.300000,1.300000,21800
2019-01-02,1.270000,1.340000,1.260000,1.340000,1.340000,10300
2019-01-03,1.340000,1.340000,1.300000,1.300000,1.300000,9700
2019-01-04,1.320000,1.390000,1.300000,1.340000,1.340000,9800
2019-01-07,1.330000,1.400000,1.290000,1.350000,1.350000,22200
2019-01-08,1.370000,1.380000,1.320000,1.340000,1.340000,15800
2019-01-09,1.370000,1.440000,1.370000,1.400000,1.400000,23300
2019-01-10,1.380000,1.420000,1.340000,1.420000,1.420000,17600
2019-01-11,1.400000,1.440000,1.400000,1.430000,1.430000,73300
2019-01-14,1.470000,1.490000,1.450000,1.460000,1.460000,63900
2019-01-15,1.490000,1.490000,1.430000,1.470000,1.470000,60400
2019-01-16,1.470000,1.470000,1.440000,1.470000,1.470000,53500
2019-01-17,1.430000,1.470000,1.430000,1.430000,1.430000,30000
2019-01-18,1.460000,1.460000,1.410000,1.450000,1.450000,35500
2019-01-22,1.450000,1.480000,1.420000,1.440000,1.440000,26100
2019-01-23,1.450000,1.460000,1.410000,1.460000,1.460000,15100
2019-01-24,1.450000,1.450000,1.410000,1.410000,1.410000,8700
2019-01-25,1.470000,1.470000,1.420000,1.460000,1.460000,22600
2019-01-28,1.480000,1.490000,1.430000,1.490000,1.490000,19200
2019-01-29,1.480000,1.480000,1.430000,1.440000,1.440000,12100
2019-01-30,1.460000,1.470000,1.430000,1.430000,1.430000,17400
2019-01-31,1.440000,1.460000,1.440000,1.460000,1.460000,7300
2019-02-01,1.460000,1.500000,1.460000,1.500000,1.500000,13900
